Draw,$0 claimable,$1 claimable,$2 claimable,$5 claimable,$10 claimable,$17 claimable,$20 claimable,$50 claimable,$69 claimable,$100 claimable,$164 claimable,$200 claimable,$316 claimable,$500 claimable,$1000 claimable,$1010 claimable,$1104 claimable,$1420 claimable,$2500 claimable
158,0,0,0,534,148,0,0,46,0,0,0,0,0,0,4,0,0,0,0
159,0,0,0,524,169,0,0,56,0,0,0,0,0,0,4,0,0,0,0
160,0,0,0,478,171,0,0,44,0,0,0,0,0,0,2,0,0,0,0
161,0,0,0,516,173,0,0,44,0,0,0,0,0,0,3,0,0,0,0
162,0,0,0,556,206,0,0,31,0,0,0,0,0,0,2,0,0,0,0
163,0,0,0,551,181,0,0,53,0,0,0,0,0,0,2,0,0,0,0
164,0,0,0,535,212,0,0,51,0,0,0,0,0,0,4,0,0,0,0
165,0,0,0,560,159,0,0,40,0,0,0,0,0,0,8,0,0,0,0
166,0,0,0,538,185,0,0,47,0,0,0,0,0,0,2,0,0,0,0
167,0,0,0,571,192,0,0,55,0,0,0,0,0,0,3,0,0,0,0
168,0,0,0,515,187,0,0,58,0,0,0,0,0,0,2,0,0,0,0
169,0,0,0,497,205,0,0,51,0,0,0,0,0,0,3,0,0,0,0
170,0,0,0,566,185,0,0,46,0,0,0,0,0,0,1,0,0,0,0
171,0,0,0,559,174,0,0,42,0,0,0,0,0,0,4,0,0,0,0
172,0,0,0,537,189,0,0,36,0,0,0,0,0,0,3,0,0,0,0
173,0,0,0,590,181,0,0,44,0,0,0,0,0,0,3,0,0,0,0
174,0,0,0,532,164,0,0,42,0,0,0,0,0,0,2,0,0,0,0
175,0,0,0,529,158,0,0,46,0,0,0,0,0,0,6,0,0,0,0
176,0,0,0,538,181,0,0,44,0,0,0,0,0,0,3,0,0,0,0
177,0,0,0,549,167,0,0,51,0,0,0,0,0,0,5,0,0,0,0
178,0,0,0,570,171,0,0,45,0,0,0,0,0,0,3,0,0,0,0
179,0,0,0,740,36,0,0,11,0,4,0,0,0,0,1,0,0,0,0
180,0,0,0,749,55,0,0,9,0,9,0,0,0,0,1,0,0,0,0
181,0,0,0,752,40,0,0,10,0,7,0,0,0,0,2,0,0,0,0
182,0,0,0,780,52,0,0,13,0,4,0,0,0,0,2,0,0,0,0
183,0,0,0,737,46,0,0,11,0,3,0,0,0,0,2,0,0,0,0
184,0,0,0,723,58,0,0,11,0,3,0,0,0,0,0,0,0,0,0
185,0,0,0,769,36,0,0,15,0,2,0,0,0,0,1,0,0,0,0
186,0,0,0,728,39,0,0,13,0,0,0,0,0,0,2,0,0,0,0
187,0,0,0,742,59,0,0,11,0,1,0,0,0,0,3,0,0,0,0
188,0,0,0,756,37,0,0,11,0,2,0,0,0,0,0,0,0,0,0
189,0,0,0,783,41,0,0,15,0,3,0,0,0,0,0,0,0,0,0
190,0,0,0,781,39,0,0,11,0,5,0,0,0,0,0,0,0,0,0
191,0,0,0,791,59,0,0,17,0,1,0,0,0,0,1,0,0,0,0
192,0,0,0,749,51,0,0,10,0,1,0,0,0,0,1,0,0,0,0
193,0,0,0,764,47,0,0,14,0,3,0,0,0,0,1,0,0,0,0
194,0,0,0,688,48,0,0,17,0,0,0,0,0,0,1,0,0,0,0
195,0,0,0,731,42,0,0,18,0,5,0,0,0,0,1,0,0,0,0
196,0,0,0,727,55,0,0,11,0,5,0,0,0,0,0,0,0,0,0
197,0,0,0,782,48,0,0,13,0,2,0,0,0,0,1,0,0,0,0
198,0,0,0,745,46,0,0,16,0,6,0,0,0,0,2,0,0,0,0
199,0,0,0,824,50,0,0,12,0,3,0,0,0,0,1,0,0,0,0
200,0,0,0,767,48,0,0,18,0,2,0,0,0,0,0,0,0,0,0
201,0,0,0,748,56,0,0,15,0,5,0,0,0,0,2,0,0,0,0
202,0,0,0,767,36,0,0,6,0,3,0,0,0,0,0,0,0,0,0
203,0,0,0,757,37,0,0,9,0,1,0,0,0,0,1,0,0,0,0
204,0,0,0,771,57,0,0,13,0,1,0,0,0,0,0,0,0,0,0
205,0,0,0,724,55,0,0,18,0,3,0,0,0,0,2,0,0,0,0
206,0,0,0,789,43,0,0,9,0,1,0,0,0,0,2,0,0,0,0
207,0,0,0,803,51,0,0,9,0,2,0,0,0,0,0,0,0,0,0
208,0,0,0,741,38,0,0,13,0,2,0,0,0,0,0,0,0,0,0
209,0,0,0,720,43,0,0,12,0,2,0,0,0,0,0,0,0,0,0
210,0,0,0,822,48,0,0,13,0,1,0,0,0,0,1,0,0,0,0
211,0,0,0,761,57,0,0,13,0,4,0,0,0,0,2,0,0,0,0
212,0,0,0,756,50,0,0,13,0,5,0,0,0,0,2,0,0,0,0
213,0,0,0,790,41,0,0,11,0,3,0,0,0,0,1,0,0,0,0
214,0,0,0,745,56,0,0,10,0,2,0,0,0,0,3,0,0,0,0
215,0,0,0,742,40,0,0,13,0,3,0,0,0,0,2,0,0,0,0
216,0,0,0,687,58,0,0,11,0,0,0,0,0,0,0,0,0,0,0
217,0,0,0,724,45,0,0,7,0,7,0,0,0,0,0,0,0,0,0
218,0,0,0,758,34,0,0,12,0,3,0,0,0,0,2,0,0,0,0
219,0,0,0,770,49,0,0,12,0,2,0,0,0,0,1,0,0,0,0
220,0,0,0,765,46,0,0,5,0,3,0,0,0,0,4,0,0,0,0
221,0,0,0,806,42,0,0,11,0,5,0,0,0,0,0,0,0,0,0
222,0,0,0,721,52,0,0,10,0,3,0,0,0,0,3,0,0,0,0
223,0,0,0,787,37,0,0,19,0,2,0,0,0,0,1,0,0,0,0
224,0,0,0,789,54,0,0,8,0,2,0,0,0,0,1,0,0,0,0
225,0,0,0,729,44,0,0,17,0,3,0,0,0,0,0,0,0,0,0
226,0,0,0,744,41,0,0,9,0,1,0,0,0,0,1,0,0,0,0
227,0,0,0,764,48,0,0,8,0,2,0,0,0,0,2,0,0,0,0
228,0,0,0,771,49,0,0,12,0,5,0,0,0,0,0,0,0,0,0
229,0,0,0,775,55,0,0,15,0,3,0,0,0,0,1,0,0,0,0
230,0,0,0,773,37,0,0,13,0,4,0,0,0,0,0,0,0,0,0
231,0,0,0,720,49,0,0,19,0,4,0,0,0,0,1,0,0,0,0
232,0,0,0,727,64,0,0,12,0,4,0,0,0,0,1,0,0,0,0
233,0,0,0,727,49,0,0,13,0,2,0,0,0,0,2,0,0,0,0
234,0,0,0,701,55,0,0,16,0,1,0,0,0,0,2,0,0,0,0
235,0,0,0,756,48,0,0,8,0,6,0,0,0,0,0,0,0,0,0
236,0,0,0,770,39,0,0,16,0,5,0,0,0,0,2,0,0,0,0
237,0,0,0,721,38,0,0,8,0,3,0,0,0,0,4,0,0,0,0
238,0,0,0,733,49,0,0,14,0,3,0,0,0,0,0,0,0,0,0
239,0,0,0,786,38,0,0,14,0,2,0,0,0,0,3,0,0,0,0
240,0,0,0,735,49,0,0,16,0,5,0,0,0,0,1,0,0,0,0
241,0,0,0,742,41,0,0,10,0,3,0,0,0,0,1,0,0,0,0
242,0,0,0,745,42,0,0,14,0,2,0,0,0,0,1,0,0,0,0
243,0,0,0,654,40,0,0,14,0,4,0,0,0,0,2,0,0,0,0
244,0,0,0,620,46,0,0,7,0,2,0,0,0,0,2,0,0,0,0
245,0,0,0,666,41,0,0,14,0,3,0,0,0,0,0,0,0,0,0
246,0,0,0,634,42,0,0,11,0,1,0,0,0,0,0,0,0,0,0
247,0,0,0,595,41,0,0,16,0,5,0,0,0,0,1,0,0,0,0
248,0,0,0,609,48,0,0,12,0,4,0,0,0,0,1,0,0,0,0
249,0,0,0,623,38,0,0,10,0,3,0,0,0,0,1,0,0,0,0
250,0,0,0,633,49,0,0,11,0,1,0,0,0,0,0,0,0,0,0
251,0,0,0,635,25,0,0,15,0,0,0,0,0,0,0,0,0,0,0
252,0,0,0,567,41,0,0,14,0,2,0,0,0,0,1,0,0,0,0
253,0,0,0,560,64,0,0,8,0,3,0,0,0,0,1,0,0,0,0
254,0,0,0,651,46,0,0,9,0,4,0,0,0,0,0,0,0,0,0
255,0,0,0,624,35,0,0,7,0,2,0,0,0,0,1,0,0,0,0
256,0,0,0,597,40,0,0,15,0,2,0,0,0,0,0,0,0,0,0
257,0,0,0,619,41,0,0,13,0,3,0,0,0,0,1,0,0,0,0
258,0,0,0,615,49,0,0,21,0,3,0,0,0,0,2,0,0,0,0
259,0,0,0,604,38,0,0,17,0,3,0,0,0,0,2,0,0,0,0
260,0,0,0,590,56,0,0,17,0,2,0,0,0,0,0,0,0,0,0
261,0,0,0,597,46,0,0,14,0,1,0,0,0,0,0,0,0,0,0
262,0,0,0,596,53,0,0,10,0,5,0,0,0,0,1,0,0,0,0
263,0,0,0,616,47,0,0,9,0,1,0,0,0,0,1,0,0,0,0
264,0,952,0,0,0,6,10,0,0,0,0,0,0,0,0,0,1,1,0
265,0,986,0,0,0,7,7,0,0,0,0,0,0,0,0,0,1,3,0
266,0,930,0,0,0,1,8,0,0,0,0,0,0,0,0,0,1,0,0
267,0,925,0,0,0,6,5,0,2,0,0,0,0,0,0,0,0,1,0
268,0,920,0,0,0,4,6,0,0,0,0,0,0,0,0,0,1,0,0
269,0,933,0,0,0,6,12,0,2,0,0,0,0,0,0,0,1,1,0
270,0,923,0,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0
271,0,916,0,0,0,3,7,0,1,0,0,0,0,0,0,0,1,2,0
272,0,916,0,0,0,6,13,0,4,0,0,0,0,0,0,0,2,2,0
273,0,892,0,0,0,7,11,0,5,0,0,0,0,0,0,0,1,1,0
274,0,987,0,0,0,8,1,0,4,0,0,0,0,0,0,0,0,0,0
275,0,1030,0,0,0,6,12,0,5,0,0,0,0,0,0,0,0,2,0
276,0,994,0,0,0,3,12,0,4,0,0,0,0,0,0,0,2,1,0
277,0,1011,0,0,0,11,6,0,3,0,0,0,0,0,0,0,0,1,0
278,0,984,0,0,0,7,11,0,5,0,0,0,0,0,0,0,0,2,0
279,0,1023,0,0,0,6,7,0,6,0,0,0,0,0,0,0,0,2,0
280,0,1005,0,0,0,5,10,0,6,0,0,0,0,0,0,0,2,0,0
281,0,931,0,0,0,5,5,0,2,0,0,0,0,0,0,0,1,1,0
282,0,924,0,0,0,4,4,0,3,0,0,0,0,0,0,0,3,0,0
283,0,960,0,0,0,6,5,0,8,0,0,0,0,0,0,0,1,1,0
284,0,1027,0,0,0,3,8,0,7,0,0,0,0,0,0,0,0,0,0
285,0,905,0,0,0,3,4,0,13,0,0,0,0,0,0,0,1,0,0
286,0,786,0,0,0,1,8,0,9,0,0,0,0,0,0,0,1,1,0
287,0,766,0,0,0,4,5,0,14,0,0,0,0,0,0,0,0,2,0
288,0,718,0,0,0,6,6,0,20,0,0,0,0,0,0,0,0,2,0
289,0,733,0,0,0,4,1,0,15,0,0,0,0,0,0,0,0,0,0
290,0,700,0,0,0,4,3,0,18,0,0,0,0,0,0,0,0,1,0
291,0,687,0,11,15,55,8,0,0,0,0,0,0,0,0,2,0,0,0
292,0,676,0,11,17,60,16,0,0,0,0,0,2,0,0,1,0,0,0
293,0,694,0,10,10,57,6,0,0,0,0,0,2,0,0,2,0,0,0
294,0,619,0,12,7,42,15,0,0,0,0,0,1,0,0,0,0,0,0
295,0,621,0,8,13,77,6,0,0,0,0,0,2,0,0,2,0,0,0
296,0,616,0,19,10,63,5,0,0,0,0,0,1,0,0,1,0,0,0
297,0,576,0,18,13,60,11,0,0,0,0,0,1,0,0,2,0,0,0
298,0,585,0,11,6,69,9,0,0,0,0,0,2,0,0,0,0,0,0
299,0,568,0,12,14,69,13,0,0,0,0,0,2,0,0,2,0,0,0
300,0,558,0,15,13,76,12,0,0,0,0,0,1,0,0,1,0,0,0
301,0,582,0,10,11,61,11,0,0,0,0,0,0,0,0,1,0,0,0
302,0,602,0,9,12,77,12,0,0,0,0,0,0,0,0,2,0,0,0
303,0,646,0,14,12,77,16,0,0,0,0,0,1,0,0,1,0,0,0
304,0,633,0,10,12,66,12,0,0,0,0,0,1,0,0,0,0,0,0
305,0,624,0,11,17,73,9,0,0,0,0,0,0,0,0,2,0,0,0
306,0,637,0,13,8,82,11,0,0,0,0,0,1,0,0,0,0,0,0
307,0,640,0,9,17,78,9,0,0,0,0,0,2,0,0,0,0,0,0
308,0,617,0,9,20,61,10,0,0,0,0,0,0,0,0,1,0,0,0
309,0,603,0,16,19,75,15,0,0,0,0,0,0,0,0,0,0,0,0
310,0,591,0,11,23,82,9,0,0,0,0,0,1,0,0,2,0,0,0
311,0,635,0,15,14,64,10,0,0,0,0,0,1,0,0,2,0,0,0
312,0,623,0,13,13,55,14,0,0,0,0,0,1,0,0,1,0,0,0
313,0,627,0,18,13,75,13,0,0,0,0,0,1,0,0,0,0,0,0
314,0,624,0,8,11,76,17,0,0,0,0,0,0,0,0,2,0,0,0
315,0,584,0,10,8,54,7,0,0,0,0,0,1,0,0,3,0,0,0
316,0,549,0,4,19,68,7,0,0,0,0,0,1,0,0,0,0,0,0
317,0,572,0,13,15,70,10,0,0,0,0,0,0,0,0,1,0,0,0
318,0,589,0,13,13,62,12,0,0,0,0,0,1,0,0,1,0,0,0
319,0,570,0,12,9,73,9,0,0,0,0,0,0,0,0,2,0,0,0
320,0,596,0,11,9,62,12,0,0,0,0,0,1,0,0,0,0,0,0
321,0,608,0,15,13,77,9,0,0,0,0,0,0,0,0,0,0,0,0
322,0,594,0,7,15,63,11,0,0,0,0,0,1,0,0,0,0,0,0
323,0,601,0,17,13,62,11,0,0,0,0,0,1,0,0,1,0,0,0
324,0,593,0,12,19,72,18,0,0,0,0,0,2,0,0,0,0,0,0
325,0,562,0,12,8,74,9,0,0,0,0,0,0,0,0,1,0,0,0
326,0,611,0,12,17,69,9,0,0,0,0,0,1,0,0,3,0,0,0
327,0,618,0,15,9,74,12,0,0,0,0,0,0,0,0,0,0,0,0
328,0,576,0,131,0,0,16,0,0,0,0,0,0,0,2,0,0,0,0
329,0,633,0,125,0,0,16,0,0,0,0,1,0,0,2,0,0,0,0
330,0,649,0,125,0,0,21,0,0,0,0,1,0,0,1,0,0,0,0
331,0,631,0,116,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0
332,0,671,0,130,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
333,0,625,0,102,0,0,16,0,0,0,0,2,0,0,1,0,0,0,0
334,0,667,0,113,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0
