Rank,Network,Address,Prizes,Balance,Winrate
152,0xe04c6ea986f4c498c24d3e3802ef01d4466891ff,polygon,10,46,27.46%
153,0x958edad91f2308122c17e689bac02f0409769c48,polygon,274,1056,27.40%
154,0x9986a375b1ebdcd902e687d4285c5fe7edd0fc9e,polygon,207,763,27.36%
155,0x728bb9dc48e49708c80d3d400b79fecb55d1852c,polygon,3275,12629,27.29%
156,0xd6f6385f9650015def77f5437f2f7c5ee3d2f372,polygon,26,122,27.10%
157,0x9af4d9d1d47419be75de41b7fcd08ec96f239e6b,polygon,27,121,27.00%
158,0xf5015105af6e7f9c4de9d7ed08fafb331ac5b88d,polygon,134,500,26.80%
159,0xd01bd6af7777e339bb8996309aa19c6bb76729fc,polygon,20,95,26.76%
160,0x3ed83c8688f98d23a987be2156f97178ea5f621d,polygon,258,1226,26.60%
161,0x2d3e69d03a23560e5f56999f7f100e43a4ba3f27,polygon,637,3047,26.42%
162,0x7be8688eff7181b292678d74c26b3ff3183c1a1e,polygon,131,638,25.86%
163,0x9dfbd6c8437faeb0ab900e0c524331d63d167788,polygon,10,49,25.86%
164,0x547aef0f1e3fd58ef5e83f168ff6ddc35013d5e0,polygon,104,506,25.82%
165,0x7d8dd9fee145ebf10ca5e26479f4a32aeb0a0fba,polygon,255,1245,25.50%
166,0xe99bb31727182cac99d5e93eee071723e821b57d,polygon,377,1864,25.34%
167,0xbbb0b369d838ae69790da1125c917531c439856f,polygon,10,50,25.28%
168,0xcd762194c835f469fe008b10f97b41373b301767,polygon,1,5,25.00%
169,0x799a3539e0404b3c3085293692de1c91f074e001,polygon,1,4,25.00%
170,0xd2db612c54b0c7669234594b64000314632f0b92,polygon,1,4,25.00%
171,0x417932ca3da34bf3df20009512a85b2eee9429c3,polygon,1,4,25.00%
172,0xeb4acd1813d6b94d6c998686558e26e3083e1250,polygon,1,4,25.00%
173,0x4697efc2834a230f492225c121718fb1268f9685,polygon,1,4,25.00%
174,0x60c8eed11cccab1e6d75a825dd9f36d85d855c53,polygon,25,125,25.00%
175,0xe2c54bf3ec68ea57187bd35fed74dbcf4607af6b,polygon,147,718,24.99%
176,0x88e110d90a11ec35060588d992edc2255deb9813,polygon,1,4,24.87%
177,0xf5bafad4355038fb323fc7a826d63bc6f57bd88a,polygon,135,686,24.36%
178,0xfe718b0a9aa7b62eef2c923820cfee10e4eac5e5,polygon,6,25,24.00%
179,0xb9978bc938ff4294b7ec194817bee8bc7054676b,polygon,1,4,23.88%
180,0x7056d02e00a19e6d296ee00c706308384a44fd29,polygon,120,625,23.74%
181,0x685c66df2a77fbc188371b3470d5a2adca538a03,polygon,6160,31961,23.68%
182,0x11b6a5fe2906f3354145613db0d99ceb51f604c9,polygon,809,4304,23.11%
183,0x883e5bef307b99fba45335a612a40bc3d5a8b9c3,ethereum,71,310,22.90%
184,0xca7a7ea3e838fa00fff5b62510f0e3623ae6606d,polygon,3612,19579,22.59%
185,0xc9b5f7f4a2af47a9a9215d957a8685efb4e67e6a,polygon,121,657,22.52%
186,0xc517d047fd40ebf95d8ab89980097de2127050fc,polygon,2801,15241,22.39%
187,0xb5ee20c4c42232acaaad100e46b0fd24f91497a5,polygon,10,45,22.22%
188,0xb42b583709239c87308596bb5d30d826213f8fa7,polygon,10,55,22.11%
189,0x853afef7a321712dd18a4964a6f10150798a4b9f,polygon,521,2879,22.10%
190,0x909c3f98b2ac848b2d21424e9334e581f1b154e8,polygon,50,227,22.07%
191,0xd96f342392dc3da1ef160a19d3562611219cb56d,polygon,10,56,21.91%
192,0x719f321251f939aacff1e98801a67bfcb6cea7a8,polygon,3684,20486,21.84%
193,0x1cd9ccbd1059740ace1117c22b25a4c21e62faf2,polygon,10,46,21.74%
194,0x2ab3d2e7c32b544b9e77d339d568a91ea1a2885d,polygon,100,462,21.63%
195,0x0f262853a5a3baecb7a4407b6bc0812d3e3360d8,ethereum,111,521,21.31%
196,0xa6a17938aefb2f237ede623e0a9a8daa7db4de8f,polygon,10,47,21.30%
197,0x1f5f84940f3d5dfb72cf4df10df3234f02794ca9,polygon,2867,16354,21.25%
198,0x6fed43575ae278d4a14229566898e06a774a5289,polygon,21,121,21.06%
199,0x47fbd31c8a6a16794e87fcd49561d6ff26b8357c,polygon,57,273,20.97%
